更新时间: 2026-04-12 06:50:23（北京时间）
⚠️ 注意：频道列表已通过30秒增强稳定性测试
📺 经过30秒稳定性测试，减少断流问题

免责声明,#genre#
免责声明视频,https://kakaxi-1.asia/LOGO/Disclaimer.mp4

央视频道,#genre#
江西卫视,http://43.138.5.183:10001/rtp/225.1.8.171:8166$北京市电信
河北卫视,http://113.95.132.166:554/rtp/239.77.1.214:5146$广东电信
河北卫视,http://121.238.250.95:8800/rtp/239.49.8.114:8000$江苏电信
河北卫视,http://183.164.55.112:5000/rtp/238.1.78.245:7832$安徽电信
河北卫视,http://221.219.104.6:1193/rtp/239.3.1.148:8072$北京市联通
河北卫视,http://221.219.75.32:4000/rtp/239.3.1.148:8072$北京市联通
河北卫视,http://223.10.214.111:6000/rtp/239.1.1.48:8048$山西电信
河北卫视,http://43.138.5.183:10001/rtp/225.1.8.76:8002$北京市电信
河南卫视,http://113.95.132.166:554/rtp/239.77.0.17:5146$广东电信
河南卫视,http://121.238.250.95:8800/rtp/239.49.8.29:8000$江苏电信
河南卫视,http://183.164.55.112:5000/rtp/238.1.79.65:4632$安徽电信
河南卫视,http://221.219.104.6:1193/rtp/239.3.1.50:8184$北京市联通
河南卫视,http://221.219.75.32:4000/rtp/239.3.1.50:8184$北京市联通
河南卫视,http://223.10.214.111:6000/rtp/239.1.1.34:8034$山西电信
浙江卫视,http://113.95.132.166:554/rtp/239.77.0.58:5146$广东电信
浙江卫视,http://113.95.132.166:554/rtp/239.77.0.89:5146$广东电信
浙江卫视,http://121.238.250.95:8800/rtp/239.49.8.20:9618$江苏电信
浙江卫视,http://183.164.55.112:5000/rtp/238.1.78.164:7184$安徽电信
浙江卫视,http://221.219.104.6:1193/rtp/239.3.1.137:8036$北京市联通
浙江卫视,http://221.219.75.32:4000/rtp/239.3.1.137:8036$北京市联通
浙江卫视,http://223.10.214.111:6000/rtp/239.1.1.38:8038$山西电信
浙江卫视,http://43.138.5.183:10001/rtp/225.1.8.46:8036$北京市电信
海南卫视,http://113.95.132.166:554/rtp/239.253.43.35:5146$广东电信
海南卫视,http://121.238.250.95:8800/rtp/239.49.8.83:8000$江苏电信
海南卫视,http://183.164.55.112:5000/rtp/238.1.79.49:4504$安徽电信
海南卫视,http://221.219.104.6:1193/rtp/239.3.1.45:8304$北京市联通
海南卫视,http://221.219.75.32:4000/rtp/239.3.1.45:8304$北京市联通
海南卫视,http://223.10.214.111:6000/rtp/239.1.1.55:8055$山西电信
深圳卫视,http://113.95.132.166:554/rtp/239.77.0.92:5146$广东电信
深圳卫视,http://121.238.250.95:8800/rtp/239.49.8.15:9430$江苏电信
深圳卫视,http://183.164.55.112:5000/rtp/238.1.78.156:7120$安徽电信
深圳卫视,http://221.219.104.6:1193/rtp/239.3.1.134:8020$北京市联通
深圳卫视,http://221.219.75.32:4000/rtp/239.3.1.134:8020$北京市联通
深圳卫视,http://223.10.214.111:6000/rtp/239.1.1.39:8039$山西电信
深圳卫视,http://43.138.5.183:10001/rtp/225.1.8.43:8020$北京市电信
湖北卫视,http://113.95.132.166:554/rtp/239.77.0.95:5146$广东电信
湖北卫视,http://121.238.250.95:8800/rtp/239.49.8.8:9632$江苏电信
湖北卫视,http://183.164.55.112:5000/rtp/238.1.78.168:7216$安徽电信
湖北卫视,http://221.219.104.6:1193/rtp/239.3.1.138:8044$北京市联通
湖北卫视,http://221.219.75.32:4000/rtp/239.3.1.138:8044$北京市联通
湖北卫视,http://223.10.214.111:6000/rtp/239.1.1.32:8032$山西电信
湖北卫视,http://43.138.5.183:10001/rtp/225.1.8.47:8044$北京市电信
湖南卫视,http://113.95.132.166:554/rtp/239.77.0.56:5146$广东电信
湖南卫视,http://113.95.132.166:554/rtp/239.77.1.5:5146$广东电信
湖南卫视,http://121.238.250.95:8800/rtp/239.49.8.12:9418$江苏电信
湖南卫视,http://183.164.55.112:5000/rtp/238.1.78.160:7152$安徽电信
湖南卫视,http://221.219.104.6:1193/rtp/239.3.1.132:8012$北京市联通
湖南卫视,http://221.219.75.32:4000/rtp/239.3.1.132:8012$北京市联通
湖南卫视,http://223.10.214.111:6000/rtp/239.1.1.28:8028$山西电信
湖南卫视,http://43.138.5.183:10001/rtp/225.1.8.41:8012$北京市电信
甘肃卫视,http://113.95.132.166:554/rtp/239.77.0.189:5146$广东电信
甘肃卫视,http://113.95.132.166:554/rtp/239.77.1.57:5146$广东电信
甘肃卫视,http://183.164.55.112:5000/rtp/238.1.79.36:4400$安徽电信
甘肃卫视,http://221.219.104.6:1193/rtp/239.3.1.201:8180$北京市联通
甘肃卫视,http://221.219.75.32:4000/rtp/239.3.1.201:8180$北京市联通
甘肃卫视,http://223.10.214.111:6000/rtp/239.1.1.51:8051$山西电信
西藏卫视,http://113.95.132.166:554/rtp/239.77.0.74:5146$广东电信
西藏卫视,http://113.95.132.166:554/rtp/239.77.1.26:5146$广东电信
西藏卫视,http://183.164.55.112:5000/rtp/238.1.78.101:6680$安徽电信
西藏卫视,http://221.219.104.6:1193/rtp/239.3.1.166:8188$北京市联通
西藏卫视,http://221.219.75.32:4000/rtp/239.3.1.166:8188$北京市联通
西藏卫视,http://223.10.214.111:6000/rtp/239.1.1.57:8057$山西电信
贵州卫视,http://113.95.132.166:554/rtp/239.77.1.221:5146$广东电信
贵州卫视,http://121.238.250.95:8800/rtp/239.49.8.49:8000$江苏电信
贵州卫视,http://183.164.55.112:5000/rtp/238.1.78.244:7824$安徽电信
贵州卫视,http://221.219.104.6:1193/rtp/239.3.1.149:8076$北京市联通
贵州卫视,http://221.219.75.32:4000/rtp/239.3.1.149:8076$北京市联通
贵州卫视,http://223.10.214.111:6000/rtp/239.1.1.43:8043$山西电信
贵州卫视,http://43.138.5.183:10001/rtp/225.1.8.77:8076$北京市电信
辽宁卫视,http://113.95.132.166:554/rtp/239.77.1.103:5146$广东电信
辽宁卫视,http://121.238.250.95:8800/rtp/239.49.8.48:8000$江苏电信
辽宁卫视,http://183.164.55.112:5000/rtp/238.1.78.21:6096$安徽电信
辽宁卫视,http://221.219.104.6:1193/rtp/239.3.1.210:8056$北京市联通
辽宁卫视,http://221.219.75.32:4000/rtp/239.3.1.210:8056$北京市联通
辽宁卫视,http://223.10.214.111:6000/rtp/239.1.1.42:8042$山西电信
辽宁卫视,http://43.138.5.183:10001/rtp/225.1.8.51:8056$北京市电信
